PRN,X,Y,Z,dts_Li
24,23421962.768253,-12587454.896122,999742.383390,0.000001
13,7552200.217497,22602205.127100,11771799.884814,-0.000031
8,19782985.994349,3245004.088496,17378780.211023,0.000374
21,-11894220.659913,-10766056.106128,21172793.129070,0.000072
29,11084174.963659,-17544452.684560,16816661.064318,0.000219
26,8280837.764110,-21834331.763553,11796587.646937,0.000438
10,16224653.041200,-6015356.853298,20186062.202443,0.000039
17,16522611.971790,-16233816.069106,12453389.868238,0.000158
2,-13921125.846576,10520857.515700,20752900.007543,-0.000268
28,23778312.686953,11792190.075152,-2950541.181966,0.000018
3,-12326721.423382,15206582.112152,17758735.430672,0.000083
27,9544631.970904,12516502.645353,21878718.757285,0.000904
